title, paragraph, paragraph2 
Listen: ‘Modern Love’ Podcast, , Kelly McCreary tells of a casual love that endures — for decades. 
In ‘The Daily’ Newsletter, , An 8-year-old’s impeachment questions. 
The Neediest Cases Fund, , After her mother fell in the subway, she carried the burden. 
‘Absolutely No Mercy’: Leaked Files Expose How China Organized Mass Detentions of Muslims, More than 400 pages of Chinese government documents provide an unprecedented inside look at the repression of ethnic minorities in the Xinjiang region.The documents confirm the coercive nature of the crackdown by the very officials who conceived and orchestrated it.,  
Document: What Chinese Officials Told Children Whose Families Were Put in Camps, , This document tells Chinese officials how to explain the disappearance of parents and families detained in camps. 
Hundreds of pages of leaked files offer new insight into how the program began. Here are 5 takeaways., ,  
Impeachment Investigators Question Budget Official About Withheld Aid, , Mark Sandy was the first person from the Office of Management and Budget to discuss the freeze on security assistance to Ukraine. 
Two Versions of Impeachment for a Divided Nation, in Prime Time, , At a historic moment, viewers turn to MSNBC and Fox News, reflecting a sharp political divide. 
In Fiery Speech, Barr Suggests Impeachment Inquiry Undermines Voters’ Intent, , Attorney General William Barr strongly defended President Trump’s assertions of executive power. 
Surgery for Blocked Arteries Is Often Unwarranted, Researchers Find, , Drug therapy alone may save lives as effectively as bypass or stenting procedures, a large federal study showed. 
When the Judge Became the Defendant, , Judge Shelley Joseph, charged with a federal crime after being accused of helping an undocumented immigrant escape detention, has signaled she will risk a trial. 
A Small Town Gave Up Tackle Football. It Came Storming Back., , A community’s struggle with when children should play tackle football reflects a broader debate over the sport and who is left playing it. 
Why Roger Goodell and Jay-Z Want Colin Kaepernick to Get a Shot, , The commissioner and the music star who became an N.F.L. ally had a lot to gain by arranging a tryout for the former 49ers quarterback. 
11 of Our Best Weekend Reads, , Tom Hanks. A review of the third season of “The Crown.” President Trump, Ukraine and impeachment. The SoftBank effect. And more. 
Did you stay up to date this week? Take our news quiz., ,  
Did President Trump Just Earn Himself Another Article of Impeachment?, , Now there’s witness intimidation and clearer evidence he had no interest in cleaning up Ukraine. 
The Revenge of the Bureaucrats, , Honesty is the best foreign policy. 
I Changed My Body for My Sport. No Girl Should., ,  
How a City Fought Runaway Capitalism and Won, ,  
Fox News? More Like Trump’s Impeachment Shield, ,  
Republicans, the Real Chickens of Kiev, ,  
The End of Babies, ,  
Trump Against the Professionals, ,  
Devin Nunes Is Danielle Steel, ,  
Trump Isn’t the First President to Make War on the Federal Reserve, ,  
Opportunity Zones — for Billionaires, ,  
Would 19 Hours and 16 Minutes in the Air Make Me Crazy?, , Qantas plans to offer a nonstop route from New York to Sydney. Our writer took the test flight, with kangaroo-themed pajamas and, perhaps, too much medication. 
Can FaZe Clan Build a Billion-Dollar Business?, , It could be called a media company, an esports team or an influencer marketing agency. And it already makes every moment into consumable content. 
Are There Benefits to Chlorophyll Supplements?, , The therapeutic potential of chlorophyll has intrigued scientists for much of the past century. 
